영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20191408,21 브릿지: 테러 셧다운 ,21 Bridges,2019,20200101,장편,개봉,미국,"스릴러,드라마,범죄",미국,스릴러,[{'peopleNm': '브라이언 커크'}],정보 없음,정보 없음
20202901,완벽한 여자,,2020,20201009,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '윤준세'}],정보 없음,정보 없음
20206085,형수 길들이기,,2020,20201007,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '정태준'}],정보 없음,정보 없음
20207373,뉴클리어: 원전 2020,Nuclear,2019,20201009,장편,개봉,영국,드라마,영국,드라마,[],정보 없음,정보 없음
20204047,마샤와 곰: 최고 중에 최고,Masha and the Bear,2019,20201008,장편,개봉,러시아,"애니메이션,어드벤처",러시아,애니메이션,[],정보 없음,정보 없음
20208455,가슴큰며느리-무삭제,,2020,20201007,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],정보 없음,정보 없음
20205762,트롤 킹,Troll: The Tale of a Tail,2018,20201007,장편,개봉,기타,"애니메이션,판타지,어드벤처",기타,애니메이션,[{'peopleNm': '케빈 먼로'}],정보 없음,정보 없음
20208452,낯선 남자와 청순 글래머,Narigoma,2019,20201006,장편,개봉,일본,"성인물(에로),드라마",일본,성인물(에로),[{'peopleNm': '히로아키'}],정보 없음,정보 없음
20208453,아버지의 여자,Father woman,2019,20201006,장편,개봉,일본,"성인물(에로),드라마",일본,성인물(에로),[{'peopleNm': '키무라 히로유키'}],정보 없음,정보 없음
20204725,해수의 아이,Children of the Sea,2019,20200930,장편,개봉,일본,"애니메이션,어드벤처,드라마",일본,애니메이션,[{'peopleNm': '와타나베 아유무'}],정보 없음,정보 없음
20205148,침대에서 만난 가정부,,2019,20201005,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '스즈키 켄이치로'}],정보 없음,정보 없음
20205147,소금맛이 나는 여자,,2019,20201005,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '야마우치 다이스케'}],정보 없음,정보 없음
20205165,사촌누나의 성상담,,2019,20201005,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '스즈키 켄이치로'}],정보 없음,정보 없음
20205164,불륜축제-깊숙한 그곳에,,2019,20201005,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '사사키 히로히사'}],정보 없음,정보 없음
20205166,가정부가 야동처럼 보일때,,2019,20201005,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '스즈키 켄이치로'}],정보 없음,정보 없음
20201721,비밀친구,,2020,20200929,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '노현진'}],정보 없음,정보 없음
20209169,화끈한 미용실,,2020,20200909,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '김춘수'}],정보 없음,정보 없음
20202662,동생 남친 돌려쓰기 무삭제판,,2019,20200901,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '윤준세'}],정보 없음,정보 없음
20206178,극장판 엉덩이 탐정: 텐텐마을의 수수께끼,,2020,20200924,장편,개봉,일본,애니메이션,일본,애니메이션,[{'peopleNm': '시바타 히로키'}],정보 없음,정보 없음
20208045,강철비2 : 정상회담 확장판,Steel Rain2: Summit (Director's Cut),2019,20200930,장편,개봉,한국,"드라마,액션",한국,드라마,[{'peopleNm': '양우석'}],정보 없음,정보 없음
20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,2020,20200929,장편,개봉,한국,공연,한국,공연,[],정보 없음,정보 없음
20204684,브레이크 더 사일런스: 더 무비,Break the Silence: The Movie,2020,20200924,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '박준수'}],정보 없음,정보 없음
20208848,참을 수 없는 아주버님의 맛,,2019,20201004,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '토미죠 타로'}],정보 없음,정보 없음
20208847,엄마가 바람났어요,,2019,20201004,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '토미죠 타로'}],정보 없음,정보 없음
20208870,야한 짓:오늘은 무슨 자세?,,2019,20201004,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '토미죠 타로'}],정보 없음,정보 없음
20208849,결혼 전:조금은 특별한 마사지,,2019,20201004,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '코고로 킨다이치'}],정보 없음,정보 없음
20208845,친구엄마:아들 친구의 맛,,2019,20201003,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '빈센트 갸루'}],정보 없음,정보 없음
20208840,의붓오빠의 맛,,2019,20201003,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '이와나가 스토루네'}],정보 없음,정보 없음
20208869,욕구해결:풀어주는 여자들,,2019,20201003,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '이즈미 류지'}],정보 없음,정보 없음
20208846,과부장모:속궁합이 궁금해,,2019,20201003,장편,개봉,일본,"멜로/로맨스,드라마",일본,멜로/로맨스,[{'peopleNm': '버드맨 텟페이'}],정보 없음,정보 없음
20201870,여배우들: 섹스 오디션 무삭제,,2020,20200930,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '정미나'}],정보 없음,정보 없음
20201869,아이돌 섹스: LA 교포녀 무삭제,,2020,20200930,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '정미나'}],정보 없음,정보 없음
20203601,18 하라의 맛있는 수업,,2020,20200929,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],정보 없음,정보 없음
20207187,여자친구의 맛,,2020,20200929,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],정보 없음,정보 없음
20207371,에이전트 제이드 블랙,Agent Jade Black,2020,20200929,장편,개봉,미국,액션,미국,액션,[],정보 없음,정보 없음
20207009,구멍동서2,,2020,20200928,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '이상수'}],정보 없음,정보 없음
20208551,G컵 베이글의 능숙한 몸놀림,,2020,20200925,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '아라시야마 미치루'}],정보 없음,정보 없음
20208552,항상 열려있는 육체,,2020,20200925,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '아라시야마 미치루'}],정보 없음,정보 없음
20208549,적극적인 G컵 접대녀,,2020,20200925,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '헤이키 치로'}],정보 없음,정보 없음
20205309,섹스 온천: 전설의 여관 여주인,,2020,20200925,장편,개봉,일본,"성인물(에로),드라마",일본,성인물(에로),[{'peopleNm': '히무 롯쿠'}],정보 없음,정보 없음
20208550,몸으로 빼앗은 여동생의 남자친구,,2020,20200925,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '핫시이'}],정보 없음,정보 없음
20208036,18 모델 리카의 화려한 외출,,2020,20200924,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],정보 없음,정보 없음
20207831,연애 완전 정복 - 무삭제판,,2020,20200924,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '김재현'}],정보 없음,정보 없음
20202170,착한 아내 : 남편의 대리만족,,2020,20200923,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최찬호'}],정보 없음,정보 없음
20201604,여대생 누드모델,,2020,20200923,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이가온'}],정보 없음,정보 없음
20200222,맛있는 너가 합격,,2020,20200922,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '정미나'}],정보 없음,정보 없음
20202643,너무 잘하는 형수,,2020,20200922,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최찬호'}],정보 없음,정보 없음
20202456,언니는 섹스티쳐,,2020,20200918,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '신효성'}],정보 없음,정보 없음
20201603,섹스가 좋은 그 여자,,2020,20200918,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이세일'}],정보 없음,정보 없음
20205310,불량 주부: 부하직원과 바람난 내 아내,,2020,20200918,장편,개봉,일본,"성인물(에로),드라마",일본,성인물(에로),[{'peopleNm': '마메자와 마메타로'}],정보 없음,정보 없음
20181544,부다페스트 느와르,Budapest Noir,2017,20200918,장편,개봉,헝가리,"미스터리,범죄,스릴러",헝가리,미스터리,[{'peopleNm': '에바 가르도스'}],정보 없음,정보 없음
20207202,가슴 큰 초희 - 무삭제판,,2019,20200918,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이동준'}],정보 없음,정보 없음
20207186,18 걸그룹 승하의 눈치게임,,2020,20200917,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],정보 없음,정보 없음
20204111,스파이 전쟁,The Kaiser's Last Kiss,2017,20200917,장편,개봉,영국,"드라마,멜로/로맨스,전쟁",영국,드라마,[],정보 없음,정보 없음
20205683,뮤지컬 남극 탐험가는 나를 좋아해,Ernest Shackleton Loves Me,2017,20200916,장편,개봉,미국,뮤지컬,미국,뮤지컬,[{'peopleNm': '데이빗 혼'}],정보 없음,정보 없음
20206945,가슴큰새엄마-무삭제,,2020,20200916,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '이정석'}],정보 없음,정보 없음
20206193,섹스 소녀 3,,2020,20200915,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,[{'peopleNm': '최진철'}],정보 없음,정보 없음
20207110,친척동생2,,2020,20200914,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '최성은'}],정보 없음,정보 없음
20202617,먹어주는 유부녀,,2020,20200914,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,[{'peopleNm': '윤준세'}],정보 없음,정보 없음
20205107,19금 비밀과외,,2020,20200911,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '리차드 킴'}],정보 없음,정보 없음
20206527,해풍 : 바람난 여자,,2020,20200911,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '리차드 킴'}],정보 없음,정보 없음
20206568,위험한 과외,,2020,20200911,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '리차드 킴'}],정보 없음,정보 없음
