영화 코드,영화명(국문),영화명(영문),제작연도,개봉일,영화유형,제작상태,제작국가,영화장르,대표 제작국가,대표 장르,영화감독,제작사 코드,제작사명
20218685,작은새와 돼지씨,Small Bird and Mr. Pig,2021,20220825,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '김새봄'}],정보 없음,정보 없음
20200523,물방울을 그리는 남자,The Man Who Paints Water Drops,2021,20220928,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,"[{'peopleNm': '김오안'}, {'peopleNm': '브리짓 부이요'}]",정보 없음,정보 없음
20200155,모어,I am More,2021,20220623,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '이일하'}],정보 없음,정보 없음
20191162,녹턴,Nocturne,2019,20220818,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '정관조'}],정보 없음,정보 없음
20217124,성적표의 김민영,Kim Min-young of the Report Card,2021,20220908,장편,개봉,한국,드라마,한국,드라마,"[{'peopleNm': '이재은'}, {'peopleNm': '임지선'}]",정보 없음,정보 없음
20217298,불도저에 탄 소녀,The Girl on a Bulldozer,2021,20220407,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '박이웅'}],정보 없음,정보 없음
20224476,윤시내가 사라졌다,Missing Yoon,2021,20220608,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '김진화'}],정보 없음,정보 없음
20211546,같은 속옷을 입는 두 여자,The Apartment with Two Women,2021,20221110,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '김세인'}],정보 없음,정보 없음
20228586,나나,"Before, Now&Then",2022,20221215,장편,개봉,인도네시아,드라마,인도네시아,드라마,[],정보 없음,정보 없음
20219337,"1975 킬링필드, 푸난",Funan,2018,20220127,장편,개봉,프랑스,"애니메이션,드라마",프랑스,애니메이션,[{'peopleNm': '드니 도'}],정보 없음,정보 없음
20217624,컴백홈,Come Back Home,2022,20221005,장편,개봉,한국,"드라마,코미디",한국,드라마,[{'peopleNm': '이연우'}],정보 없음,정보 없음
20210140,젠틀맨,Gentleman,2021,20221228,장편,개봉,한국,범죄,한국,범죄,[{'peopleNm': '김경원'}],정보 없음,정보 없음
20217104,희수,The Train Passed by,2021,20221215,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '감정원'}],정보 없음,정보 없음
20196478,영웅,Hero,2022,20221221,장편,개봉,한국,"드라마,뮤지컬",한국,드라마,[{'peopleNm': '윤제균'}],정보 없음,정보 없음
20204548,범죄도시2,The Roundup,2022,20220518,장편,개봉,한국,"범죄,액션",한국,범죄,[{'peopleNm': '이상용'}],정보 없음,정보 없음
20217027,옆집사람,Next Door,2022,20221103,장편,개봉,한국,"스릴러,코미디",한국,스릴러,[{'peopleNm': '염지호'}],정보 없음,정보 없음
20227762,올빼미,The Night Owl,2021,20221123,장편,개봉,한국,스릴러,한국,스릴러,[{'peopleNm': '안태진'}],정보 없음,정보 없음
20227715,새아빠와모녀2,,2022,20221018,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '이하'}],정보 없음,정보 없음
20228788,몸으로 하는 이모의 영업 비밀,,2022,20221228,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '전일만'}],정보 없음,정보 없음
20228767,BJ여동생의 VIP 팬방 : 내 동생이 벗방에 초대 됐다,,2022,20221228,장편,개봉,한국,성인물(에로),한국,성인물(에로),[{'peopleNm': '전일만'}],정보 없음,정보 없음
20227221,처제에게 먹혀버린 형부,,2022,20220929,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': 'K.C. 타케다'}],정보 없음,정보 없음
20227235,옆집 노인에게 조련당한 새댁,,2022,20220929,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '이누가미료'}],정보 없음,정보 없음
20226397,남편 동생에게 위 아래 더럽혀진 몸,,2022,20220818,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '이누가미료'}],정보 없음,정보 없음
20226385,형부 유혹한 음탕한 처제,,2022,20220819,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': 'K.C. 타케다'}],정보 없음,정보 없음
20226399,성적 올려주는 I컵 과외 선생님,,2022,20220823,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': '아사기리 키요시'}],정보 없음,정보 없음
20226398,육덕 여상사에 먹혀버린 물건,,2022,20220819,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': 'K.C. 타케다'}],정보 없음,정보 없음
20226396,남매끼리 하니까 좋아?,,2022,20220818,장편,개봉,일본,성인물(에로),일본,성인물(에로),[{'peopleNm': 'K.C. 타케다'}],정보 없음,정보 없음
20225182,메이드인세운상가,,2022,20220525,장편,개봉,한국,공연,한국,공연,[{'peopleNm': '최원종'}],정보 없음,정보 없음
20225180,뒤틀린 집,Contorted ,2022,20220713,장편,개봉,한국,"공포(호러),드라마,스릴러",한국,공포(호러),[{'peopleNm': '강동헌'}],정보 없음,정보 없음
20228301,아르키메데스의 대전,The Great War of Archimedes,2019,20221116,장편,개봉,일본,"드라마,전쟁",일본,드라마,[{'peopleNm': '야마자키 타카시'}],정보 없음,정보 없음
20225633,큐브,Cube,2021,20220824,장편,개봉,일본,스릴러,일본,스릴러,[],정보 없음,정보 없음
20225238,체리마호: 30살까지 동정이면 마법사가 될 수 있대,Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard?!: The Movie,2022,20220713,장편,개봉,일본,"판타지,멜로/로맨스",일본,판타지,[{'peopleNm': '카자마 히로키'}],정보 없음,정보 없음
20211944,당신은 이 글 속에 살아있다,,2021,20220218,장편,개봉,한국,기타,한국,기타,[{'peopleNm': '임지환'}],정보 없음,정보 없음
20217826,육사오(6/45),6/45,2022,20220824,장편,개봉,한국,코미디,한국,코미디,[{'peopleNm': '박규태'}],정보 없음,정보 없음
20200566,거래완료,Good Deal,2020,20221006,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '조경호'}],정보 없음,정보 없음
20228230,요정,Fairy,2022,20221201,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '신택수'}],정보 없음,정보 없음
20228438,튜브펫주식회사,Tubepetcompany,2021,20221208,장편,개봉,한국,"드라마,코미디,멜로/로맨스,가족",한국,드라마,"[{'peopleNm': '송상민'}, {'peopleNm': '곽지성'}]",정보 없음,정보 없음
20211565,혜옥이,Life of Hae-oak,2022,20221208,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '박정환'}],정보 없음,정보 없음
20228950,이태석,The Power of Love,2022,20221229,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '이우석'}],정보 없음,정보 없음
20202822,라스트필름,Last Film,2021,20221229,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '전수일'}],정보 없음,정보 없음
20224689,화피사2: 요괴전쟁,THE SKIN PAINTER 2 ,2018,20221222,장편,개봉,중국,액션,중국,액션,[],정보 없음,정보 없음
20228309,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,Pinkfong Sing-Along Movie 2: Wonderstar Concert,2022,20221221,장편,개봉,한국,애니메이션,한국,애니메이션,[{'peopleNm': '김수경'}],정보 없음,정보 없음
20227791,동행: 10년의 발걸음,Accompany: Hyegwang Blind Orchestra,2022,20221201,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,[{'peopleNm': '이재호'}],정보 없음,정보 없음
20228308,극장판 뽀로로와 친구들: 바이러스를 없애줘!,Pororo and Friends: Virus Busters,2022,20221201,장편,개봉,한국,애니메이션,한국,애니메이션,[{'peopleNm': '박영균'}],정보 없음,정보 없음
20228640,신비아파트 극장판 차원도깨비와 7개의 세계,Shinbi's Haunted House: The Dimension Ghost and the Seven Worlds,2022,20221214,장편,개봉,한국,애니메이션,한국,애니메이션,[{'peopleNm': '변영규'}],정보 없음,정보 없음
20212913,1번국도,Route 1,2021,20221208,장편,개봉,한국,드라마,한국,드라마,[{'peopleNm': '강경태'}],정보 없음,정보 없음
20210397,가가린,Gagarine,2020,20221222,장편,개봉,프랑스,SF,프랑스,SF,"[{'peopleNm': '파니 리에타르'}, {'peopleNm': '제레미 트루일'}]",정보 없음,정보 없음
20212435,자지만 말구요,,2021,20220103,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '한대위'}],정보 없음,정보 없음
20212436,처제의 섹스과외,,2021,20220108,장편,개봉,한국,"성인물(에로),드라마,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '한대위'}],정보 없음,정보 없음
20212828,엔티알 누드모델,,2021,20220111,장편,개봉,한국,"성인물(에로),멜로/로맨스",한국,성인물(에로),[{'peopleNm': '김경모'}],정보 없음,정보 없음
20200768,맛있는 여동생,,2020,20220111,장편,개봉,한국,"성인물(에로),드라마,코미디,멜로/로맨스",한국,성인물(에로),[{'peopleNm': '김창석'}],정보 없음,정보 없음
20212968,카렌의 에로소설,,2020,20220114,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),[{'peopleNm': '야마구치 다이'}],정보 없음,정보 없음
20212969,옆집 유부녀가 발정났다,,2020,20220114,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),[{'peopleNm': '카오루'}],정보 없음,정보 없음
20212987,음란 간병인,,2020,20220115,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),[{'peopleNm': '나베'}],정보 없음,정보 없음
20212971,요가녀의 매끈한 몸,,2020,20220115,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로),[{'peopleNm': '호소카와 켄'}],정보 없음,정보 없음
20223286,한지붕 섹가족,,2021,20220117,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[],정보 없음,정보 없음
20212864,크게 만족한 아내 무삭제판,,2021,20220117,장편,개봉,일본,"성인물(에로),멜로/로맨스",일본,성인물(에로),[{'peopleNm': '나기라 겐조'}],정보 없음,정보 없음
