boxofficeType,showRange,yearWeekTime,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
주중 박스오피스,20240226~20240229,202409,7,7,1,OLD,20247219,사운드 오브 프리덤,2024-02-21,87128200,0.5,-50661400,-36.8,426112900,8011,-4866,-37.8,38674,209,953
주중 박스오피스,20240226~20240229,202409,8,8,-3,OLD,20206946,시민덕희,2024-01-24,50321523,0.3,-332974418,-86.9,16075976297,5738,-35224,-86.0,1700935,279,812
주중 박스오피스,20240226~20240229,202409,9,9,2,OLD,20247063,바튼 아카데미,2024-02-21,46131067,0.2,-1310808,-2.8,200754118,5336,145,2.8,21229,214,685
주중 박스오피스,20240226~20240229,202409,10,10,0,OLD,20246966,아기상어 극장판: 사이렌 스톤의 비밀,2024-02-07,40019571,0.2,-1071885,-2.6,887041204,4594,-702,-13.3,100262,85,293
주중 박스오피스,20240304~20240307,202410,1,1,0,OLD,20234675,파묘,2024-02-22,6930698606,67.1,-5727105616,-45.2,64938437745,733572,-662225,-47.4,6766743,2148,31794
주중 박스오피스,20240304~20240307,202410,2,2,0,OLD,20236295,듄: 파트2,2024-02-28,2015859077,19.5,-764167036,-27.5,11056504271,169784,-97515,-36.5,990582,1091,11402
주중 박스오피스,20240304~20240307,202410,3,3,0,OLD,20236180,웡카,2024-01-31,267697694,2.6,-1102812786,-80.5,31981936656,28177,-125902,-81.7,3326134,594,3911
주중 박스오피스,20240304~20240307,202410,4,4,0,OLD,20247074,건국전쟁,2024-02-01,240123772,2.3,-329839447,-57.9,10431121242,28070,-38169,-57.6,1120778,453,2273
주중 박스오피스,20240304~20240307,202410,5,5,18,OLD,20236732,가여운 것들,2024-03-06,204509645,2.0,192223785,1564.6,261235150,21556,20313,1634.2,26886,471,1642
주중 박스오피스,20240304~20240307,202410,6,6,11,OLD,20234789,패스트 라이브즈,2024-03-06,134464387,1.3,107962387,407.4,191107463,15704,12820,444.5,21555,606,2230
주중 박스오피스,20240304~20240307,202410,7,7,-2,OLD,20247076,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",2024-02-14,98027500,0.9,-227849700,-69.9,5319954700,9903,-22730,-69.7,468015,241,1344
주중 박스오피스,20240304~20240307,202410,8,8,-2,OLD,20231415,소풍,2024-02-07,46023439,0.4,-72511362,-61.2,2943977849,5468,-8687,-61.4,328795,96,408
주중 박스오피스,20240304~20240307,202410,9,9,-2,OLD,20247219,사운드 오브 프리덤,2024-02-21,53899100,0.5,-33229100,-38.1,533799800,5084,-2927,-36.5,48301,102,354
주중 박스오피스,20240304~20240307,202410,10,10,139,OLD,20247437,브레드이발소: 셀럽 인 베이커리타운,2024-03-01,41118060,0.4,41049060,59491.4,949191600,4820,4813,68757.1,109783,187,705
주중 박스오피스,20240311~20240314,202411,1,1,0,OLD,20234675,파묘,2024-02-22,4511460856,62.2,-2419237750,-34.9,82017150331,475666,-257906,-35.2,8517603,1967,27875
주중 박스오피스,20240311~20240314,202411,2,2,0,OLD,20236295,듄: 파트2,2024-02-28,1357110809,18.7,-658748268,-32.7,15880074942,110559,-59225,-34.9,1393255,967,8690
주중 박스오피스,20240311~20240314,202411,3,3,2,OLD,20236732,가여운 것들,2024-03-06,213434152,2.9,8924507,4.4,865460611,21904,348,1.6,87325,442,2292
주중 박스오피스,20240311~20240314,202411,4,4,2,OLD,20234789,패스트 라이브즈,2024-03-06,168163469,2.3,33699082,25.1,660495285,18788,3084,19.6,73885,566,2878
주중 박스오피스,20240311~20240314,202411,5,5,16,OLD,20236488,밥 말리: 원 러브,2024-03-13,122666908,1.7,112856908,1150.4,133735908,14049,13127,1423.8,15042,579,2227
주중 박스오피스,20240311~20240314,202411,6,6,-3,OLD,20236180,웡카,2024-01-31,129948890,1.8,-137748804,-51.5,32887906760,13530,-14647,-52.0,3420405,505,2165
주중 박스오피스,20240311~20240314,202411,7,7,-3,OLD,20247074,건국전쟁,2024-02-01,96520250,1.3,-143603522,-59.8,10715034197,11158,-16912,-60.2,1152225,382,1385
주중 박스오피스,20240311~20240314,202411,8,8,17,OLD,20247053,메이 디셈버,2024-03-13,92692793,1.3,87124094,1564.5,146464556,10816,10202,1661.6,15791,400,1131
주중 박스오피스,20240311~20240314,202411,9,9,23,OLD,20247782,랜드 오브 배드,2024-03-13,75886848,1.0,72546848,2172.1,79226848,9615,9261,2616.1,9969,386,1349
주중 박스오피스,20240311~20240314,202411,10,10,32,OLD,20247198,마담 웹,2024-03-13,50508614,0.7,48636614,2598.1,52380614,5402,5194,2497.1,5610,648,1804
주중 박스오피스,20240318~20240321,202412,1,1,0,OLD,20234675,파묘,2024-02-22,2793630171,53.8,-1717830685,-38.1,92543774182,292497,-183169,-38.5,9590999,1785,24880
주중 박스오피스,20240318~20240321,202412,2,2,0,OLD,20236295,듄: 파트2,2024-02-28,918581236,17.7,-438529573,-32.3,19110878367,73487,-37072,-33.5,1654722,842,7150
주중 박스오피스,20240318~20240321,202412,3,3,9,OLD,20236714,극장판 스파이 패밀리 코드 : 화이트,2024-03-20,505699775,9.7,466255775,1182.1,638902287,51584,47840,1277.8,63541,917,5890
주중 박스오피스,20240318~20240321,202412,4,4,-1,OLD,20236732,가여운 것들,2024-03-06,113290306,2.2,-100143846,-46.9,1210371034,11530,-10374,-47.4,121356,298,1532
